Week dynamic with cut																												
Date	WeekDynamic_Open_Interest_Total	WeekDynamic_Reportable_Positions_Net	WeekDynamic_Reportable_Positions_Long	WeekDynamic_Reportable_Positions_Short	WeekDynamic_Prod_Merc_Positions_Total	WeekDynamic_Prod_Merc_Positions_Net	WeekDynamic_Prod_Merc_Positions_Long	WeekDynamic_Prod_Merc_Positions_Short	WeekDynamic_Swap_Positions_Total	WeekDynamic_Swap_Positions_Net	WeekDynamic_Swap_Positions_Long	WeekDynamic_Swap_Positions_Short	WeekDynamic_Swap_Positions_Spread	WeekDynamic_M_Money_Positions_Total	WeekDynamic_M_Money_Positions_Net	WeekDynamic_M_Money_Positions_Long	WeekDynamic_M_Money_Positions_Short	WeekDynamic_M_Money_Positions_Spread	WeekDynamic_Other_Rept_Positions_Total	WeekDynamic_Other_Rept_Positions_Net	WeekDynamic_Other_Rept_Positions_Long	WeekDynamic_Other_Rept_Positions_Short	WeekDynamic_Other_Rept_Positions_Spread	WeekDynamic_NonRept_Positions_Total	WeekDynamic_NonRept_Positions_Net	WeekDynamic_NonRept_Positions_Long	WeekDynamic_NonRept_Positions_Short	biNet
11.07.2017	0,0635734	-0,9426458	0,0567105	0,0851915	0,1737741	0,0000000	0,0000000	0,2151328	0,0972187	0,0420432	0,0592619	0,2471896	0,2466835	-0,0429347	1,2490728	0,0913202	-0,1998470	0,0000000	0,1236230	1,8715368	0,0000000	0,2549621	0,1827182	0,0000000	-0,9426458	0,1370359	-0,1099512	0
18.07.2017	0,0000000	-5,8391960	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0953408	-0,0809082	0,0000000	0,2874082	0,0000000	0,0000000	-0,0662830	0,0000000	0,1487278	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0421637	-5,8391960	0,0861611	0,0000000	0
25.07.2017	0,0000000	-2,4700588	0,0000000	-0,0311687	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0786498	0,0000000	-0,1279976	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1580813	0,1327069	-0,0494564	-2,4700588	-0,1301338	0,0369830	0
01.08.2017	0,0372580	0,4099364	0,0378641	0,0337550	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0366794	-0,2543948	0,2561899	0,0606546	0,0000000	0,0000000	0,1931532	0,0879601	0,0000000	-1,0630037	0,1790801	-0,0885841	0,0000000	0,0512135	0,4099364	0,0000000	0,0693733	0
08.08.2017	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0388848	0,0910212	0,0781157	0,0000000	-0,3439834	0,0798747	-1,8178302	-0,0586227	0,2388404	0,0866179	0,0000000	9,4664083	0,0000000	-0,0751569	0,0000000	0,0000000	0,0000000	0,0000000	-0,0396594	1
15.08.2017	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1436152	0,0000000	-0,1019798	0,0000000	0,0000000	-0,3033212	-0,4634838	0,0450492	2,0145180	-0,0703832	0,1623451	0,0000000	0,0000000	1,9019874	0,1910461	-0,0973925	0,0000000	0,0650573	0,0000000	0,0500169	0,0785088	1
22.08.2017	0,0523182	0,0000000	0,0551057	0,0595145	0,0574869	0,0000000	0,2529474	0,0000000	-0,0659040	-0,0606950	-0,0555927	0,0000000	-0,1921241	0,1123799	0,8931117	0,0000000	0,2292916	0,0888995	0,0755646	0,0000000	0,2137944	-0,0779748	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
29.08.2017	-0,0702620	0,0000000	-0,0763881	-0,0735044	-0,0698278	0,0000000	0,0000000	-0,0926850	-0,0522784	-0,0624251	-0,0667513	-0,1321267	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1762077	-0,1847093	0,0000000	-0,1605794	-0,2185242	-0,1971996	0,0000000	0,0000000	0,0000000	-0,0401200	1
05.09.2017	0,0000000	0,0000000	0,0000000	0,0000000	-0,0972864	0,0000000	0,0000000	-0,1097025	0,0000000	-0,0445963	-0,0277580	0,2471324	0,2547610	0,0401363	0,0000000	0,0000000	0,0779261	-0,1032206	0,0000000	0,0000000	0,0000000	-0,0891463	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
12.09.2017	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0282264	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
19.09.2017	0,0000000	0,3887136	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1966744	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,2129472	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,3887136	0,0000000	0,0000000	1
26.09.2017	0,0000000	0,5974255	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,2419319	0,0000000	0,0000000	0,0000000	0,0000000	-0,0838562	0,1364170	0,0000000	0,0000000	-0,1084393	0,1103520	0,0000000	0,0000000	0,5974255	-0,0548843	0,0000000	1
03.10.2017	0,0000000	0,0000000	0,0341203	0,0000000	0,1423579	0,0000000	0,1978065	0,1107229	0,0000000	-0,0353607	0,0000000	0,2928315	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0861673	0,0000000	0,0000000	0,0000000	-0,0902616	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
10.10.2017	0,0499957	0,0000000	0,0491008	0,0510612	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0326557	0,0000000	0,0000000	0,2125203	0,0561396	0,0000000	0,0000000	0,0907597	0,2021466	0,0000000	0,0000000	0,1168775	-0,2065301	0,1192300	0,0492754	0,0000000	0,0595899	0,0408083	1
17.10.2017	0,0371810	0,0000000	0,0373843	0,0422227	0,0000000	0,0000000	0,0000000	0,0000000	0,0349089	0,0000000	0,0000000	0,0000000	0,2358466	0,0000000	0,0000000	-0,0550840	0,0000000	0,1792511	0,0768281	0,0000000	0,0838691	0,0758314	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
24.10.2017	0,0752978	0,0000000	0,0810823	0,0820476	0,1104163	0,0000000	0,1230100	0,1014682	0,0518356	0,0418308	0,0000000	-0,2194159	0,3006566	0,0531476	0,0000000	0,0000000	0,0000000	0,2198187	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
31.10.2017	0,0972439	-1,1690164	0,0923771	0,1090698	0,1010788	-0,8929305	0,2901513	0,0000000	0,0979090	0,0000000	0,0251633	0,0000000	0,3477898	0,0712584	0,0000000	-0,0905414	0,1309286	0,1552375	0,1049081	0,0000000	0,0000000	0,3432358	0,0000000	0,0613032	-1,1690164	0,1524626	0,0000000	1
07.11.2017	0,0000000	-3,4525407	0,0000000	0,0000000	0,1108747	-0,6281868	0,1225413	0,0995652	-0,0594322	0,1249949	0,0968504	-0,2561702	-0,3920956	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0848882	0,0000000	0,0000000	-3,4525407	-0,0578221	0,0000000	1
14.11.2017	0,0000000	0,0000000	0,0000000	0,0000000	-0,0619720	13,5986133	-0,1333978	0,0000000	0,0420657	0,0682613	0,0651297	0,0000000	0,0000000	0,0000000	0,0000000	0,0577344	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
21.11.2017	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0410339	0,0260769	-0,2753129	-0,1588361	0,0000000	0,0000000	0,0000000	0,0000000	-0,1470636	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
28.11.2017	-0,0513268	-0,7074059	-0,0581519	-0,0549431	-0,0790784	-0,7820866	0,0000000	-0,1434443	-0,0505683	-0,0454797	-0,0252254	0,5610675	-0,3150179	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1045347	0,0000000	0,0000000	0,0000000	-0,2240574	0,0000000	-0,7074059	0,0000000	0,0000000	1
05.12.2017	-0,0440975	3,1120332	-0,0388356	-0,0436570	-0,1080970	1,8585170	-0,1561435	-0,0622888	0,0385710	0,0375673	0,0000000	-0,3338697	0,3739277	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0682679	0,0000000	0,0000000	-0,0857741	-0,1915961	-0,0736090	3,1120332	-0,0990012	-0,0486153	1
12.12.2017	0,0682294	-0,8274470	0,0663410	0,0722215	0,0000000	-1,7584128	0,1930887	-0,0840485	0,0000000	0,0000000	0,0000000	0,5778986	0,0000000	0,0911683	0,0000000	-0,0987412	0,1599007	0,1420880	0,0896811	0,0000000	0,2003428	0,0000000	0,0000000	0,0570727	-0,8274470	0,0892494	0,0000000	1
19.12.2017	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1992296	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
26.12.2017	0,0000000	2,9102244	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1648149	-0,0431115	0,0000000	0,0000000	0,0000000	0,0000000	-0,0618647	0,0000000	-0,1092157	-0,0735466	0,0000000	0,0000000	2,9102244	0,0000000	0,0000000	1
02.01.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-1,7542460	0,0000000	0,0736427	0,0307924	0,0000000	0,0000000	0,0000000	0,2289893	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
09.01.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,6030938	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
16.01.2018	0,0569546	-0,4457263	0,0652267	0,0672450	0,0624126	-1,4962746	0,1271379	0,0000000	0,0977850	0,0416629	0,0446924	0,0000000	0,3335079	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1052157	0,0000000	0,0000000	0,2840830	0,1080389	-0,0440275	-0,4457263	0,0000000	-0,0524635	1
23.01.2018	0,0000000	0,5260170	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1619847	0,0000000	0,0000000	0,0000000	0,0000000	0,1070090	0,0000000	0,5260170	0,0000000	0,0000000	1
30.01.2018	-0,0515774	0,3973962	-0,0549453	-0,0563261	-0,1102871	-16,4575039	-0,3441735	0,1304890	0,0432874	0,0429151	0,0292502	-0,2203095	0,0000000	-0,1131822	0,0000000	0,1133260	-0,2134401	0,0000000	0,0000000	0,0000000	-0,0907625	0,0000000	0,0000000	0,0000000	0,3973962	0,0000000	0,0000000	1
06.02.2018	0,0000000	-1,1810115	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0274612	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1115346	0,1652058	0,0000000	0,0000000	-1,1810115	0,0000000	-0,0513305	1
13.02.2018	-0,0582949	-16,0220588	-0,0594576	-0,0726268	0,0000000	0,4722004	-0,2166112	0,0566604	-0,0542618	0,0000000	-0,0314769	0,0000000	0,0000000	-0,1193591	0,0000000	0,0000000	-0,1772286	-0,1555405	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-16,0220588	0,0000000	0,1096134	1
20.02.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1053800	0,0000000	-0,0601999	0,0000000	0,0000000	0,0000000	-0,3566768	0,0000000	0,0000000	0,0000000	0,0845237	-0,0977205	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
27.02.2018	-0,1034239	0,0000000	-0,1019906	-0,1026641	-0,0728180	0,0000000	-0,1769900	0,0000000	0,0000000	-0,0328773	0,0000000	0,5782454	-0,1524708	-0,0956347	0,0000000	-0,0632808	0,0000000	-0,2179036	-0,1345098	0,0000000	0,0000000	-0,2136889	-0,1978263	-0,1149162	0,0000000	-0,1200757	-0,1106293	1
06.03.2018	0,0523883	0,0000000	0,0545118	0,0617890	0,1219174	0,6009910	-0,1950030	0,2583413	0,0812358	0,1558810	0,1335942	-0,2548357	-0,1503666	-0,0779307	0,0000000	0,0000000	-0,2060987	0,1061241	0,1454379	0,0000000	0,0000000	0,2697899	0,2655894	0,0000000	0,0000000	0,0000000	-0,0375681	1
13.03.2018	0,0641394	0,0000000	0,0664977	0,0648098	0,0000000	0,0000000	0,1212150	0,0000000	0,0498529	0,0642368	0,0602015	0,0000000	0,0000000	0,0000000	0,0000000	-0,0739464	0,0000000	0,1950204	0,0881946	0,0000000	0,0000000	0,0000000	0,2724543	0,0469539	0,0000000	0,0000000	0,0570620	1
20.03.2018	-0,0430104	0,3846925	-0,0402647	-0,0458819	0,0000000	0,0000000	0,0000000	-0,0767200	-0,0357861	-0,0720617	-0,0653977	0,1361950	0,1984840	0,0000000	1,0570050	-0,1951915	0,1160634	0,0000000	-0,0699915	0,0000000	0,1954150	-0,2215715	-0,2307234	-0,0424984	0,3846925	-0,0774340	0,0000000	1
27.03.2018	0,0514205	0,0000000	0,0618280	0,0567053	0,0000000	0,0000000	0,1870264	0,0000000	0,0350997	0,0000000	0,0000000	-0,5018657	0,5533480	0,1046893	0,0000000	0,0000000	0,1670912	0,1156357	0,0000000	0,0000000	0,1190012	0,0000000	0,0000000	-0,0391466	0,0000000	-0,0843184	0,0000000	1
03.04.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0368288	0,0000000	-0,0375161	-0,5098315	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0762934	0,0000000	1
10.04.2018	-0,0621971	0,0000000	-0,0642288	-0,0706839	-0,0482209	0,0000000	-0,2356164	0,0000000	-0,0508895	0,0000000	0,0000000	0,3075454	-0,3593750	-0,0726753	0,0000000	0,1154668	-0,1369251	-0,1363012	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
17.04.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0396076	0,0435808	0,0429997	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
24.04.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0350736	-0,0323094	0,1887345	0,2864615	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,0593644	0,0000000	-0,0595668	-0,0592177	1
01.05.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,2542358	0,1086192	0,0000000	0,0328501	0,0335562	0,0000000	-0,1721658	0,0000000	0,0000000	0,2469682	-0,1017690	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1078274	0,0000000	0,0000000	0,0000000	0,0000000	1
08.05.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1132548	0,0000000	0,0272414	0,0000000	0,0000000	0,9224629	0,0000000	0,0000000	-1,6644667	0,1180922	-0,1795405	0,0000000	0,0000000	0,0000000	-0,2157567	0,1951001	0,2018594	0,0000000	0,0000000	0,0000000	0,0000000	1
15.05.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,1658629	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-1,1246722	-0,0553415	0,0892573	-0,1849113	0,0657663	0,0000000	0,0888627	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
22.05.2018	0,0591353	0,0000000	0,0560030	0,0595129	0,1040038	0,0000000	0,0000000	0,1052767	-0,0282796	-0,0649113	-0,0518153	0,3279427	0,0000000	0,0000000	-6,6207776	0,0000000	-0,0894007	0,3545587	0,0000000	0,0000000	0,0000000	-0,1043497	0,0000000	0,0763642	0,0000000	0,1054609	0,0551701	1
29.05.2018	0,0976887	0,0000000	0,1048203	0,1005343	0,1261240	0,0000000	0,3224489	0,0753060	0,0740125	0,0000000	0,0000000	0,2930725	0,4902179	0,0680647	1,9284499	0,1048937	0,0000000	0,2207431	0,0564514	0,0000000	-0,0868183	0,2058483	0,1262551	0,0370623	0,0000000	0,0000000	0,0676840	1
05.06.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0437223	-0,0609945	-0,0423912	0,2464104	0,3543886	0,0000000	0,0000000	-0,0584577	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	1
12.06.2018	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	-0,1131364	0,0000000	-0,0465798	0,0000000	0,0000000	-0,2128081	-0,1576748	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0000000	0,0427077	0,0000000	0,0000000	0,0540207	1
19.06.2018	-0,0889606	0,0000000	-0,0817694	-0,0914480	-0,1330623	0,0000000	0,0000000	-0,1461193	0,0605432	0,1283008	0,1010730	-0,3125098	0,0000000	0,0000000	-1,1933957	-0,1433383	0,1737428	-0,1125984	-0,1209993	0,0000000	0,0000000	0,0000000	-0,3430723	-0,1184887	0,0000000	-0,1959690	-0,0633224	1
