WeekDynamic_Classified																														
Date	WeekDynamic_Open_Interest_Total	WeekDynamic_Reportable_Positions_Net	WeekDynamic_Reportable_Positions_Long	WeekDynamic_Reportable_Positions_Short	WeekDynamic_Prod_Merc_Positions_Total	WeekDynamic_Prod_Merc_Positions_Net	WeekDynamic_Prod_Merc_Positions_Long	WeekDynamic_Prod_Merc_Positions_Short	WeekDynamic_Swap_Positions_Total	WeekDynamic_Swap_Positions_Net	WeekDynamic_Swap_Positions_Long	WeekDynamic_Swap_Positions_Short	WeekDynamic_Swap_Positions_Spread	WeekDynamic_M_Money_Positions_Total	WeekDynamic_M_Money_Positions_Net	WeekDynamic_M_Money_Positions_Long	WeekDynamic_M_Money_Positions_Short	WeekDynamic_M_Money_Positions_Spread	WeekDynamic_Other_Rept_Positions_Total	WeekDynamic_Other_Rept_Positions_Net	WeekDynamic_Other_Rept_Positions_Long	WeekDynamic_Other_Rept_Positions_Short	WeekDynamic_Other_Rept_Positions_Spread	WeekDynamic_NonRept_Positions_Total	WeekDynamic_NonRept_Positions_Net	WeekDynamic_NonRept_Positions_Long	WeekDynamic_NonRept_Positions_Short	binShort	binLong	binNeut
30.08.2011	2	0	2	2	0	0	3	0	0	3	4	6	0	2	4	0	2	0	3	0	0	3	0	4	0	4	0	1	0	0
06.09.2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	3	4	1	0	0
13.09.2011	0	0	0	0	0	0	6	4	0	0	0	0	0	7	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
20.09.2011	0	0	0	0	0	0	7	0	0	0	0	0	0	7	5	0	7	0	0	0	0	0	0	6	0	5	0	0	0	1
27.09.2011	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	6	0	0	0	6	0	0	4	0	0	4	0	0	1
04.10.2011	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
11.10.2011	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	3	0	3	3	0	0	1
18.10.2011	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6	6	0	0	0	0	0	7	0	7	5	0	0	1
25.10.2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	6	0	5	5	0	0	1
01.11.2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	1
08.11.2011	0	0	3	3	0	0	0	0	4	0	0	0	3	3	0	0	3	0	0	0	6	0	2	0	0	7	7	0	0	1
15.11.2011	3	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	1
22.11.2011	0	0	0	0	3	0	0	4	0	0	0	0	0	6	0	0	6	0	0	0	6	0	0	2	0	3	3	0	0	1
29.11.2011	1	0	1	1	3	0	3	4	3	4	3	0	2	3	0	0	0	2	2	0	2	4	2	3	0	4	3	0	0	1
06.12.2011	0	0	0	0	3	0	3	0	0	0	0	0	0	6	0	6	0	7	0	0	0	0	6	3	0	3	3	0	0	1
13.12.2011	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
20.12.2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	1
27.12.2011	0	0	0	0	6	0	0	6	0	0	0	0	6	3	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	1
03.01.2012	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1
10.01.2012	7	0	7	7	0	0	6	0	5	5	0	4	6	6	0	0	6	6	6	0	0	6	0	6	0	6	0	0	0	1
17.01.2012	0	0	0	0	6	0	6	0	7	6	6	0	6	0	0	0	6	0	0	0	6	0	0	6	0	0	7	0	1	0
24.01.2012	6	0	6	7	6	0	6	6	0	0	0	5	0	7	0	6	5	0	0	0	6	0	0	0	0	5	0	0	1	0
31.01.2012	0	0	0	0	6	0	0	6	0	0	0	4	6	0	0	6	4	3	0	0	0	0	6	3	0	3	0	0	1	0
07.02.2012	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	6	0	0	1	0
14.02.2012	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	1	0
21.02.2012	6	0	6	6	0	0	6	0	0	0	4	0	0	6	0	0	6	0	6	0	0	4	6	4	0	0	3	0	1	0
28.02.2012	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	3	4	3	3	0	0	3	0	1	0
06.03.2012	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	6	0	0	5	0	0	0	0	5	0	1	0
13.03.2012	0	0	0	0	3	0	0	4	0	0	0	0	0	6	0	0	6	0	0	0	6	0	0	0	0	5	0	0	1	0
20.03.2012	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1	0
27.03.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0
03.04.2012	6	0	7	6	6	0	7	0	6	0	5	0	6	0	0	0	0	0	0	0	0	5	3	3	0	3	0	0	1	0
10.04.2012	0	0	0	0	3	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0
17.04.2012	0	0	0	0	0	0	6	0	0	0	5	6	2	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	1	0
24.04.2012	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	5	0	3	0	0	0	0	3	0	0	0	0	0	1	0
01.05.2012	2	0	2	2	3	0	1	0	3	0	4	4	0	0	0	5	0	0	3	0	0	0	2	2	0	3	3	0	1	0
08.05.2012	0	0	0	0	0	0	0	3	0	0	0	0	6	6	0	0	6	0	6	0	6	0	0	6	0	0	6	0	1	0
15.05.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0
22.05.2012	3	0	3	0	9	5	3	9	3	3	3	5	3	0	4	0	0	6	0	0	0	6	2	3	0	0	2	0	1	0
29.05.2012	0	0	0	0	6	0	6	0	4	0	0	0	0	0	5	0	3	0	6	0	0	0	9	0	0	0	0	0	1	0
05.06.2012	0	0	0	0	3	0	6	3	0	3	3	0	0	6	4	0	7	3	0	0	0	0	2	6	0	0	7	0	1	0
12.06.2012	0	0	0	0	3	0	3	0	4	0	0	0	0	6	5	0	6	0	0	0	0	4	7	0	0	0	0	0	1	0
19.06.2012	0	0	0	0	6	0	7	5	0	5	0	4	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	1	0
26.06.2012	3	0	2	3	6	0	2	6	3	3	3	0	0	2	4	6	1	0	2	5	2	0	1	0	0	6	0	0	1	0
03.07.2012	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	3	7	6	0	3	6	6	0	0	0	0	0	1	0
10.07.2012	0	0	0	0	6	0	6	5	4	4	3	0	0	0	0	5	0	0	0	0	0	0	0	6	0	6	5	0	0	1
17.07.2012	6	0	6	7	0	0	0	0	0	3	0	5	0	6	0	5	0	6	7	0	9	0	0	0	0	0	0	0	0	1
24.07.2012	6	0	0	0	0	0	0	0	4	0	0	0	3	6	0	5	0	0	6	0	0	5	6	7	0	6	6	0	0	1
31.07.2012	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	7	3	0	0	3	1	0	0
07.08.2012	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	1	0	0
14.08.2012	0	0	0	3	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	1
21.08.2012	6	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	7	0	0	0	0	1	0	0
28.08.2012	2	0	3	2	0	0	0	0	0	0	0	5	3	0	0	0	0	0	2	0	2	0	3	0	0	4	0	1	0	0
04.09.2012	0	0	0	0	4	0	2	0	0	0	0	0	0	6	0	0	0	0	6	0	6	0	0	0	0	0	0	1	0	0
11.09.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
18.09.2012	0	0	0	0	0	0	7	0	0	3	0	6	0	0	0	0	0	0	6	0	9	0	0	5	0	0	6	1	0	0
25.09.2012	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
02.10.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	4	1	0	0
09.10.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	1	0	0
16.10.2012	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	6	3	0	6	0	0	0	0	5	1	0	0
23.10.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	4	1	0	0
30.10.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	1	0	0
06.11.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	6	0	1	0	0
13.11.2012	7	5	0	7	6	0	7	0	5	0	0	0	0	6	0	5	0	0	6	0	0	0	0	0	5	3	6	1	0	0
20.11.2012	0	0	0	0	0	0	7	0	0	0	0	0	6	3	0	3	0	0	0	5	0	4	0	0	0	0	4	1	0	0
27.11.2012	2	0	1	2	4	0	2	0	3	6	6	0	2	0	0	0	3	0	0	4	0	3	3	6	0	6	0	1	0	0
04.12.2012	3	5	3	3	4	0	0	0	0	0	5	0	3	3	0	4	0	0	0	0	0	0	0	4	5	3	0	1	0	0
11.12.2012	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	4	0	3	0	0	0	3	0	0	0	0	5	1	0	0
18.12.2012	0	0	0	0	6	0	0	0	4	0	4	0	0	0	4	0	6	3	0	0	0	0	0	3	0	3	0	1	0	0
24.12.2012	0	0	0	0	5	0	6	0	0	5	0	0	0	0	5	0	0	6	0	5	0	0	0	3	0	4	4	1	0	0
31.12.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0
08.01.2013	6	0	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	6	6	4	0	0	6	6	0	6	5	0	0	1
15.01.2013	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	3	0	0	0	6	0	1	0	0
22.01.2013	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
29.01.2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
