Statistics																														
Date	Statistics_Open_Interest_Total	Statistics_Reportable_Positions_Net	Statistics_Reportable_Positions_Long	Statistics_Reportable_Positions_Short	Statistics_Prod_Merc_Positions_Total	Statistics_Prod_Merc_Positions_Net	Statistics_Prod_Merc_Positions_Long	Statistics_Prod_Merc_Positions_Short	Statistics_Swap_Positions_Total	Statistics_Swap_Positions_Net	Statistics_Swap_Positions_Long	Statistics_Swap_Positions_Short	Statistics_Swap_Positions_Spread	Statistics_M_Money_Positions_Total	Statistics_M_Money_Positions_Net	Statistics_M_Money_Positions_Long	Statistics_M_Money_Positions_Short	Statistics_M_Money_Positions_Spread	Statistics_Other_Rept_Positions_Total	Statistics_Other_Rept_Positions_Net	Statistics_Other_Rept_Positions_Long	Statistics_Other_Rept_Positions_Short	Statistics_Other_Rept_Positions_Spread	Statistics_NonRept_Positions_Total	Statistics_NonRept_Positions_Net	Statistics_NonRept_Positions_Long	Statistics_NonRept_Positions_Short	binShort	binLong	binNeut
26.02.2019	458560	7623	414495	406872	170808	-27710	71549	99259	106981	78996	83514	4518	18949	304482	-60205	85670	145875	72937	110403	16542	45069	28527	36807	95753	-7623	44065	51688	0	0	1
05.03.2019	478153	2689	432708	430019	163411	-13987	74712	88699	99714	68283	72585	4302	22827	333570	-73919	87270	161189	85111	120329	22312	52438	30126	37765	93579	-2689	45445	48134	0	1	0
12.03.2019	503946	328	458832	458504	169150	-15396	76877	92273	99486	59374	65186	5812	28488	349794	-75778	86365	162143	101286	128148	32128	59646	27518	40984	90556	-328	45114	45442	0	1	0
19.03.2019	500240	1570	456402	454832	168789	-11059	78865	89924	99449	55590	60823	5233	33393	356789	-78699	85258	163957	107574	114505	35738	59754	24016	30735	89246	-1570	43838	45408	0	1	0
26.03.2019	495313	5552	452385	446833	162862	-23612	69625	93237	105776	65240	70401	5161	30214	340159	-64550	82872	147422	109865	114987	28474	54053	25579	35355	91408	-5552	42928	48480	0	0	1
02.04.2019	499820	7348	456549	449201	167520	-26904	70308	97212	105916	61656	66938	5282	33696	332623	-57883	80786	138669	113168	116029	30479	54855	24376	36798	93890	-7348	43271	50619	0	0	1
09.04.2019	471734	7539	429034	421495	168597	-27761	70418	98179	102594	61566	66959	5393	30242	315625	-56958	79026	135984	100615	105751	30692	54669	23977	27105	92939	-7539	42700	50239	0	1	0
16.04.2019	471175	7061	429560	422499	164039	-12237	75901	88138	102321	60848	67376	6528	28417	320106	-69970	78690	148660	92756	114347	28420	56347	27927	30073	90291	-7061	41615	48676	0	1	0
23.04.2019	480664	7654	441342	433688	160926	-8350	76288	84638	103222	63077	69430	6353	27439	333414	-76715	81665	158380	93369	120868	29642	57359	27717	35792	86298	-7654	39322	46976	0	1	0
30.04.2019	470846	5587	431909	426322	155291	-3805	75743	79548	103128	64570	70743	6173	26212	334884	-89103	76268	165371	93245	115188	33925	59415	25490	30283	83461	-5587	38937	44524	0	1	0
07.05.2019	474895	4896	435456	430560	148295	-7793	70251	78044	103681	61386	68427	7041	28213	342605	-86931	79157	166088	97360	115752	38234	61938	23704	30110	83774	-4896	39439	44335	0	1	0
14.05.2019	497004	6094	458706	452612	155627	-12351	71638	83989	114692	61850	70620	8770	35302	347855	-81837	80449	162286	105120	119270	38432	62125	23693	33452	82690	-6094	38298	44392	0	1	0
21.05.2019	455348	8795	420810	412015	145211	-32943	56134	89077	108450	57869	67025	9156	32269	318120	-40159	86098	126257	105765	99224	24028	49733	25705	23786	77871	-8795	34538	43333	0	0	1
28.05.2019	444957	8288	411230	402942	147974	-42586	52694	95280	103466	56245	65711	9466	28289	299842	-23206	85887	109093	104862	101399	17835	45447	27612	28340	75742	-8288	33727	42015	0	0	1
04.06.2019	442184	8298	407839	399541	144652	-45128	49762	94890	102112	57111	65251	8140	28721	283164	-12080	81054	93134	108976	103899	8395	38219	29824	35856	76988	-8298	34345	42643	0	0	1
11.06.2019	420761	10603	386877	376274	162431	-59239	51596	110835	97889	60132	67545	7413	22931	259080	5274	87280	82006	89794	101827	4436	38532	34096	29199	78371	-10603	33884	44487	0	0	1
18.06.2019	425681	9216	391307	382091	163902	-75598	44152	119750	100951	55511	66832	11321	22798	248516	25554	95128	69574	83814	119052	3749	44218	40469	34365	77964	-9216	34374	43590	0	0	1
25.06.2019	380979	10973	348321	337348	160275	-78029	41123	119152	91395	58798	67172	8374	15849	226887	30032	92717	62685	71485	96748	172	36945	36773	23030	76289	-10973	32658	43631	0	0	1
02.07.2019	362642	12172	332597	320425	150136	-91950	29093	121043	92235	62063	69076	7013	16146	215170	34473	94344	59871	60955	93197	7586	37800	30214	25183	72262	-12172	30045	42217	0	0	1
09.07.2019	363931	14005	334386	320381	138053	-84701	26676	111377	96706	64626	71143	6517	19046	214851	27583	90130	62547	62174	95286	6497	36566	30069	28651	73095	-14005	29545	43550	0	0	1
16.07.2019	372617	11550	342009	330459	129418	-80882	24268	105150	103594	64463	70803	6340	26451	214794	15087	80977	65890	67927	98407	12882	39706	26824	31877	72766	-11550	30608	42158	0	0	1
23.07.2019	382577	12654	351808	339154	122646	-69484	26581	96065	105935	62854	68712	5858	31365	213744	6603	74318	67715	71711	110164	12681	43724	31043	35397	74192	-12654	30769	43423	0	1	0
30.07.2019	379136	13634	349204	335570	132517	-75517	28500	104017	109826	59293	66496	7203	36127	211753	14849	80081	65232	66440	97961	15009	41410	26401	30150	73498	-13634	29932	43566	0	1	0
06.08.2019	399820	14107	369018	354911	130286	-66180	32053	98233	111422	58827	65756	6929	38737	221543	7121	77040	69919	74584	110357	14339	43848	29509	37000	75711	-14107	30802	44909	0	1	0
13.08.2019	385557	13800	356665	342865	135153	-60387	37383	97770	92434	57872	65069	7197	20168	218810	4000	75298	71298	72214	117326	12315	43108	30793	43425	71584	-13800	28892	42692	0	1	0
20.08.2019	387336	15279	359534	344255	144313	-53205	45554	98759	90377	60727	65359	4632	20386	219365	-4248	71652	75900	71813	114070	12005	41305	29300	43465	70883	-15279	27802	43081	0	1	0
27.08.2019	358513	15724	332090	316366	127822	-61750	33036	94786	85625	60720	66838	6118	12669	223838	803	77602	76799	69437	97006	15951	40449	24498	32059	68570	-15724	26423	42147	0	1	0
03.09.2019	353963	13775	327203	313428	107201	-48369	29416	77785	90394	62208	70178	7970	12246	231893	-19370	69985	89355	72553	98103	19306	44584	25278	28241	67295	-13775	26760	40535	0	1	0
10.09.2019	363718	14208	337902	323694	106196	-52890	26653	79543	89461	57769	66111	8342	15008	248405	-8905	79924	88829	79652	93452	18234	41132	22898	29422	65840	-14208	25816	40024	0	1	0
17.09.2019	352925	13999	327663	313664	105951	-55291	25330	80621	87785	56287	64335	8048	15402	238631	-7093	80041	87134	71456	90021	20096	39018	18922	32081	64523	-13999	25262	39261	0	1	0
24.09.2019	355668	12987	329395	316408	101605	-51379	25113	76492	89085	55555	63952	8397	16736	240017	-15418	73203	88621	78193	86731	24229	38762	14533	33436	65533	-12987	26273	39260	0	1	0
01.10.2019	369530	13418	343728	330310	108892	-48594	30149	78743	86990	58288	63800	5512	17678	251736	-16014	72057	88071	91608	85686	19738	36988	17250	31448	65022	-13418	25802	39220	0	1	0
08.10.2019	388627	12627	360951	348324	117741	-43255	37243	80498	93616	59281	65869	6588	21159	266430	-13446	75725	89171	101534	75715	10047	26341	16294	33080	67979	-12627	27676	40303	0	1	0
15.10.2019	402973	11918	376284	364366	121077	-48419	36329	84748	107596	60842	69440	8598	29558	261550	-3662	76361	80023	105166	79426	3157	23153	19996	36277	65296	-11918	26689	38607	0	1	0
22.10.2019	411525	11705	381809	370104	128767	-65069	31849	96918	105679	54943	65109	10166	30404	252942	21629	85511	63882	103549	91467	202	26282	26080	39105	71137	-11705	29716	41421	0	0	1
29.10.2019	407645	12618	379058	366440	134725	-60969	36878	97847	108964	56730	66991	10261	31712	235911	7769	72383	64614	98914	91780	9088	28688	19600	43492	69792	-12618	28587	41205	0	0	1
05.11.2019	411973	12180	383380	371200	136219	-60533	37843	98376	113575	61595	72391	10796	30388	239529	2333	71060	68727	99742	90856	8785	27685	18900	44271	69366	-12180	28593	40773	0	0	1
12.11.2019	413129	14073	384447	370374	146034	-57920	44057	101977	111201	60614	72544	11930	26727	242199	3720	75754	72034	94411	90845	7659	27550	19891	43404	71437	-14073	28682	42755	0	0	1
19.11.2019	388983	16957	360929	343972	147429	-57263	45083	102346	104866	60841	72690	11849	20327	231373	-178	76332	76510	78531	84806	13557	30397	16840	37569	73065	-16957	28054	45011	0	0	1
26.11.2019	357978	14442	330181	315739	131095	-75899	27598	103497	100150	69903	80153	10250	9747	227250	8359	78142	69783	79325	66414	12079	23277	11198	31939	70036	-14442	27797	42239	0	0	1
03.12.2019	366477	11958	337837	325879	132318	-81342	25488	106830	99363	65560	77236	11676	10451	239216	18008	87830	69822	81564	68105	9732	22569	12837	32699	69238	-11958	28640	40598	0	0	1
10.12.2019	373593	12581	345425	332844	134867	-80667	27100	107767	100406	69011	78941	9930	11535	248562	9157	86941	77784	83837	68518	15080	26527	11447	30544	68917	-12581	28168	40749	0	0	1
17.12.2019	391745	15467	363168	347701	140596	-92744	23926	116670	104975	68092	80882	12790	11303	264084	24643	99238	74595	90251	72941	15476	30849	15373	26719	72621	-15467	28577	44044	0	0	1
24.12.2019	400079	13547	371022	357475	145732	-87330	29201	116531	108773	72801	83886	11085	13802	268797	16389	97334	80945	90518	70727	11687	26133	14446	30148	71661	-13547	29057	42604	0	0	1
31.12.2019	411197	14845	380876	366031	157461	-89127	34167	123294	111103	69921	82502	12581	16020	271705	22059	100973	78914	91818	69684	11992	26280	14288	29116	75487	-14845	30321	45166	0	0	1
07.01.2020	434673	15619	405593	389974	156925	-87897	34514	122411	111282	69190	81390	12200	17692	291617	22261	107911	85650	98056	81807	12065	27842	15777	38188	73779	-15619	29080	44699	0	0	1
14.01.2020	476764	15724	445323	429599	155663	-87193	34235	121428	117474	64712	79499	14787	23188	320832	26857	116693	89836	114303	95425	11348	29368	18020	48037	78606	-15724	31441	47165	1	0	0
21.01.2020	503792	17702	470759	453057	164344	-96670	33837	130507	117747	66647	82471	15824	19452	344876	39286	130054	90768	124054	101351	8439	28899	20460	51992	83768	-17702	33033	50735	1	0	0
28.01.2020	505930	17203	472719	455516	155904	-96200	29852	126052	121043	72262	88702	16440	15901	356239	41817	135140	93323	127776	99463	-676	23439	24115	51909	83625	-17203	33211	50414	1	0	0
04.02.2020	525368	18874	491492	472618	166226	-104686	30770	135456	123605	75192	91269	16077	16259	363391	45607	134161	88554	140676	100736	2761	25140	22379	53217	86626	-18874	33876	52750	0	0	1
11.02.2020	507064	20745	473362	452617	162026	-97856	32085	129941	118450	77362	91660	14298	12492	357221	39482	132438	92956	131827	96562	1757	25459	23702	47401	88149	-20745	33702	54447	0	0	1
18.02.2020	513909	20249	479395	459146	168203	-114215	26994	141209	119729	72261	88894	16633	14202	357287	59262	142705	83443	131139	97582	2941	25062	22121	50399	89277	-20249	34514	54763	1	0	0
25.02.2020	465877	19904	435726	415822	150565	-93719	28423	122142	112710	70756	86072	15316	11322	327706	43319	127159	83840	116707	88246	-452	21751	22203	44292	80206	-19904	30151	50055	0	0	1
03.03.2020	426357	18625	397312	378687	133459	-76181	28639	104820	116399	68067	83783	15716	16900	277820	17096	92685	75589	109546	83994	9643	27878	18235	37881	76715	-18625	29045	47670	0	0	1
10.03.2020	434399	16935	406215	389280	133214	-78916	27149	106065	115838	63816	78678	14862	22298	282128	18196	93781	75585	112762	89625	13839	31917	18078	39630	73303	-16935	28184	45119	0	0	1
17.03.2020	394378	16650	368520	351870	118164	-58594	29785	88379	106689	60743	70494	9751	26444	233246	-3798	63259	67057	102930	93335	18299	36026	17727	39582	68366	-16650	25858	42508	0	0	1
24.03.2020	359729	14977	332788	317811	132961	-76577	28192	104769	98872	56738	69832	13094	15946	194150	20143	62852	42709	88589	87289	14673	34585	19912	32792	68859	-14977	26941	41918	0	0	1
31.03.2020	372589	14558	342136	327578	165041	-90673	37184	127857	103159	60369	73167	12798	17194	193462	36756	76823	40067	76572	83282	8106	30192	22086	31004	75464	-14558	30453	45011	1	0	0
07.04.2020	370416	14128	339806	325678	161438	-87660	36889	124549	104330	66048	78142	12094	14094	196022	27270	75369	48099	72554	84754	8470	30466	21996	32292	75348	-14128	30610	44738	0	0	1
14.04.2020	380408	14024	350098	336074	164624	-88636	37994	126630	103817	68883	80926	12043	10848	202278	25786	77118	51332	73828	92227	7991	30834	22843	38550	74644	-14024	30310	44334	0	0	1
21.04.2020	369800	13978	340782	326804	178161	-94575	41793	136368	104775	74840	87349	12509	4917	197297	24186	80371	56185	60741	87376	9527	31292	21765	34319	72014	-13978	29018	42996	0	0	1
28.04.2020	344450	13233	317846	304613	169954	-77524	46215	123739	112149	70584	89586	19002	3561	189069	17102	79340	62238	47491	76285	3071	27703	24632	23950	66441	-13233	26604	39837	0	1	0
05.05.2020	351496	13815	325594	311779	162656	-72430	45113	117543	122857	75542	97345	21803	3709	193146	6295	73469	67174	52503	80030	4408	30983	26575	22472	65619	-13815	25902	39717	0	1	0
12.05.2020	356391	14142	331027	316885	165080	-69396	47842	117238	125303	78752	99706	20954	4643	192152	6215	71562	65347	55243	83822	-1429	30362	31791	21669	64870	-14142	25364	39506	0	1	0
19.05.2020	374510	13887	347193	333306	168768	-57312	55728	113040	125678	81121	101125	20004	4549	209391	-11390	68697	80087	60607	90560	1468	35541	34073	20946	68521	-13887	27317	41204	0	1	0
26.05.2020	387216	14944	361035	346091	183379	-67287	58046	125333	122769	81683	99924	18241	4604	218843	-8475	71658	80133	67052	88428	9023	37700	28677	22051	67306	-14944	26181	41125	0	1	0
02.06.2020	400202	12575	371613	359038	172160	-80026	46067	126093	131505	88044	106137	18093	7275	226160	-9812	72419	82231	71510	98914	14369	45078	30709	23127	69753	-12575	28589	41164	0	1	0
09.06.2020	380528	12198	352363	340165	145879	-77631	34124	111755	125402	88668	104035	15367	6000	218977	-22128	66494	88622	63861	108045	23289	53485	30196	24364	68528	-12198	28165	40363	0	1	0
16.06.2020	413421	16237	388419	372182	166828	-71872	47478	119350	123020	86133	101051	14918	7051	228056	-26663	62987	89650	75419	125356	28639	59562	30923	34871	66241	-16237	25002	41239	0	1	0
23.06.2020	432871	13430	405719	392289	173173	-59571	56801	116372	127110	87644	103638	15994	7478	241694	-45176	58874	104050	78770	133278	30533	63653	33120	36505	67734	-13430	27152	40582	0	1	0
30.06.2020	403108	13737	378582	364845	170191	-59995	55098	115093	119953	88356	99871	11515	8567	237690	-37611	61360	98971	77359	105512	22987	52172	29185	24155	62789	-13737	24526	38263	0	1	0
